empresa;cargo;localizacao;modalidade;contrato;pcd;data
🚀 A seleção já está rolando na Track&Field! Vem com a gente?;Analista de dados (BI) | TRACK&FIELD | São Paulo;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;18/08/2023
Seedz;Analista de Dados Sênior ;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;18/08/2023
Stefanini Group;Engenheiro de Dados Sênior (Databricks);Sorocaba - SP;Remoto;Efetivo;Também p/ PcD;18/08/2023
Bridge & Co.;Líder de Squad - Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;18/08/2023
Lanlink Informática;Analista de Banco de Dados e Linux;Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;18/08/2023
Quero Educação;Estágio em Análise de Dados;São José d... - SP;Presencial;Estágio;Também p/ PcD;18/08/2023
Montreal & Tecnologia & Inovação;Administrador de Banco de Dados ADABAS/NATURAL - Regional RJ ;Rio de Jan... - RJ;Presencial;Efetivo;Não informado;18/08/2023
BIRD Moving Business Forward;Analista de Dados e CRM;São Paulo - SP;Presencial;Pessoa Jurídica;Não informado;18/08/2023
Porto;Analista de Inteligência de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;18/08/2023
GLOBAL HITSS;13539-Pessoa Administradora de Banco de Dados (DBA);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;18/08/2023
Strada;Engenheiro(a) de Dados Sênior ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;17/08/2023
Genial Investimentos;Cientista de Dados PL;São Paulo - SP;Presencial;Efetivo;Não informado;17/08/2023
MTRIX;Engenheiro(a) de Dados ;São Paulo - SP;Remoto;Pessoa Jurídica;Não informado;17/08/2023
Brasilprev;ANALISTA COMERCIAL SÊNIOR (DADOS);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;17/08/2023
White Martins ;Estagiário(a) de Análise de Dados - Diadema/SP;Diadema - SP;Presencial;Estágio;Também p/ PcD;17/08/2023
REDE CACIQUE;ATENDENTE EM RESTAURANTE BANCO DE DADOS - ALTO ALEGRE/MA;Alto Alegre  - MA;Presencial;Efetivo;Também p/ PcD;17/08/2023
Grupo Salta Educação;Analista de Dados - Contas a Receber;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;17/08/2023
NAVA | Technology for Business;Pessoa Engenheira de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;17/08/2023
LBCA - Lee, Brock, Camargo Advogados;Cientista de Dados Jurídicos;São Paulo - SP;Remoto;Efetivo;Não informado;17/08/2023
BP - A Beneficência Portuguesa de São Paulo;Pessoa Analista de Dados Pleno;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;17/08/2023
LEAN SALES;Assistente De Dados;Itajaí - SC;Presencial;Efetivo;Também p/ PcD;16/08/2023
ALLOS;Analista de Marketing Pleno - Dados e Inteligência;Belo Horiz... - MG;Presencial;Efetivo;Também p/ PcD;16/08/2023
Daniel Advogados;Cientista de Dados ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;16/08/2023
NAVA | Technology for Business;ANALISTA  DLP e PROTEÇÃO DE DADOS SR;Osasco - SP;Presencial;Efetivo;Também p/ PcD;16/08/2023
NAVA | Technology for Business;ANALISTA  DLP e PROTEÇÃO DE DADOS SR;Osasco - SP;Presencial;Efetivo;Também p/ PcD;16/08/2023
NAVA | Technology for Business;ANALISTA DE PROTEÇÃO DE DADOS SR - DISCOVERY, PROTEÇÃO E CRIPTOGRAFIA;Osasco - SP;Presencial;Efetivo;Também p/ PcD;16/08/2023
iK Ecossistema da Inovação;Analista de dados ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;16/08/2023
Neoway;Pessoa Analista de Dados Júnior;Não informado;Remoto;Efetivo;Também p/ PcD;16/08/2023
Instituto de Pesquisas ELDORADO;Analista de Dados Dogfooding;Manaus - AM;Presencial;Efetivo;Também p/ PcD;16/08/2023
Stefanini Group;Administrador de Dados - AD;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;16/08/2023
@novarotadooeste;ANALISTA DE DADOS PL;Cuiabá - MT;Presencial;Efetivo;Também p/ PcD;16/08/2023
GAVB ;Pessoa Engenheira de dados II - Vaga afirmativa para mulheres (Cis e Trans);Não informado;Remoto;Efetivo;Também p/ PcD;16/08/2023
KPMG Brasil;Analista de Dados Sr - (People Analytics);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;16/08/2023
Logcomex;Engenheiro de Dados Pleno;Curitiba - PR;Remoto;Efetivo;Também p/ PcD;15/08/2023
Logcomex;Engenheiro de Dados JR;Curitiba - PR;Presencial;Efetivo;Não informado;15/08/2023
Libbs Farmacêutica;Analista de Engenharia de Dados Pleno;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;15/08/2023
Andrade Maia Advogados;Analista de Dados Júnior;Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;15/08/2023
Cencosud Brasil;Cientista de Dados (Cencosud) - São Paulo/SP 🥼👨🏼‍🔬;São Paulo - SP;Presencial;Efetivo;Não informado;15/08/2023
YDUQS;PESSOA ANALISTA COMERCIAL PLENA (FOCO EM DADOS);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;15/08/2023
Trinus Co.;Analista de Inteligência de Dados - Gestão Imobiliária;Goiânia - GO;Presencial;Efetivo;Também p/ PcD;15/08/2023
BP - A Beneficência Portuguesa de São Paulo;Pessoa Analista  Dados Sr - Proadi TeleNordeste;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;15/08/2023
Vagas Inmetrics;ANALISTA DE INTELIGENCIA DE DADOS PL (HÍBRIDO);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;14/08/2023
SiMCo - Healthcare Platform;Analista de Inteligência Operacional e Dados Sr;Fortaleza - CE;Remoto;Efetivo;Também p/ PcD;14/08/2023
SiMCo - Healthcare Platform;Analista de Inteligência Operacional e Dados Sr;Fortaleza - CE;Remoto;Efetivo;Também p/ PcD;14/08/2023
Cogna Educação;PESSOA ESTAGIARIA - ANALISE DE DADOS R&S;Valinhos - SP;Presencial;Efetivo;Também p/ PcD;14/08/2023
The Bridge Social;Engenheiro de Dados ;Não informado;Remoto;Pessoa Jurídica;Também p/ PcD;14/08/2023
Grupo Boticário;Especialista em Engenharia de Dados II (Produtos Digitais) - Vaga afirmativa para Pessoas Negras (pretas e pardas) e Mulheres (cis e trans);Não informado;Remoto;Efetivo;Também p/ PcD;14/08/2023
Banco Bmg; Engenharia de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;14/08/2023
Cidade Center Norte;Analista de Dados Jr (Relacionamento com Cliente);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;14/08/2023
Bip Brasil;Pessoa Engenheira de Dados Jr. - Telecomunicações ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;14/08/2023
Leega Consultoria;Engenheiro de Dados Azure/Databricks Sênior;São Caetan... - SP;Remoto;Pessoa Jurídica;Não informado;14/08/2023
Vertigo Tecnologia;Desenvolvedor(a) em Python (Plataforma de Dados);Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;14/08/2023
Modal - Estratégia em Captação 360;Analista de Dados BI;Barueri - SP;Presencial;Efetivo;Também p/ PcD;14/08/2023
J&T Express Brasil;Analista dados (Financeiro)  - Brasília/DF ;Brasília - DF;Presencial;Efetivo;Também p/ PcD;14/08/2023
B. Braun Group ;Especialista de Inteligência de Dados;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;14/08/2023
SiDi;Estágio em Engenharia de Dados;Campinas - SP;Presencial;Estágio;Também p/ PcD;14/08/2023
Aeris Energy;Banco de Dados - Profissionais com Deficiência (PCD);Caucaia - CE;Presencial;Banco de Talentos;Também p/ PcD;14/08/2023
Confidencial;ESTAGIÁRIO(A) - ANÁLISE DE DADOS;Rio de Jan... - RJ;Presencial;Estágio;Também p/ PcD;14/08/2023
J&T Express Brasil;Analista de dados, Brasília/DF;Brasília - DF;Presencial;Efetivo;Também p/ PcD;14/08/2023
Mutant;Engenheiro de Dados Pleno;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;11/08/2023
